algorithm,type,treads,dim,time
row,int,1,1000,20
col,int,1,1000,39
block,int,1,1000,20
row,int,2,1000,10
col,int,2,1000,20
block,int,2,1000,11
row,int,4,1000,5
col,int,4,1000,11
block,int,4,1000,6
row,int,8,1000,2
col,int,8,1000,6
block,int,8,1000,3
row,int,16,1000,2
col,int,16,1000,5
block,int,16,1000,2
row,int,32,1000,2
col,int,32,1000,5
block,int,32,1000,3
row,int,1,2000,82
col,int,1,2000,170
block,int,1,2000,81
row,int,2,2000,43
col,int,2,2000,93
block,int,2,2000,52
row,int,4,2000,22
col,int,4,2000,49
block,int,4,2000,24
row,int,8,2000,11
col,int,8,2000,30
block,int,8,2000,13
row,int,16,2000,7
col,int,16,2000,23
block,int,16,2000,9
row,int,32,2000,7
col,int,32,2000,22
block,int,32,2000,9
row,int,1,3000,183
col,int,1,3000,396
block,int,1,3000,183
row,int,2,3000,99
col,int,2,3000,211
block,int,2,3000,112
row,int,4,3000,52
col,int,4,3000,122
block,int,4,3000,57
row,int,8,3000,27
col,int,8,3000,72
block,int,8,3000,31
row,int,16,3000,17
col,int,16,3000,54
block,int,16,3000,20
row,int,32,3000,17
col,int,32,3000,54
block,int,32,3000,20
row,int,1,4000,325
col,int,1,4000,709
block,int,1,4000,326
row,int,2,4000,174
col,int,2,4000,397
block,int,2,4000,184
row,int,4,4000,90
col,int,4,4000,226
block,int,4,4000,105
row,int,8,4000,51
col,int,8,4000,140
block,int,8,4000,56
row,int,16,4000,30
col,int,16,4000,102
block,int,16,4000,35
row,int,32,4000,30
col,int,32,4000,99
block,int,32,4000,35
row,int,1,5000,507
col,int,1,5000,1213
block,int,1,5000,511
row,int,2,5000,279
col,int,2,5000,684
block,int,2,5000,321
row,int,4,5000,149
col,int,4,5000,385
block,int,4,5000,156
row,int,8,5000,79
col,int,8,5000,241
block,int,8,5000,89
row,int,16,5000,46
col,int,16,5000,178
block,int,16,5000,54
row,int,32,5000,45
col,int,32,5000,185
block,int,32,5000,49
row,int,1,6000,732
col,int,1,6000,1819
block,int,1,6000,736
row,int,2,6000,395
col,int,2,6000,1005
block,int,2,6000,468
row,int,4,6000,206
col,int,4,6000,570
block,int,4,6000,220
row,int,8,6000,118
col,int,8,6000,359
block,int,8,6000,125
row,int,16,6000,67
col,int,16,6000,288
block,int,16,6000,75
row,int,32,6000,65
col,int,32,6000,292
block,int,32,6000,73
row,int,1,7000,996
col,int,1,7000,2535
block,int,1,7000,994
row,int,2,7000,525
col,int,2,7000,1393
block,int,2,7000,576
row,int,4,7000,287
col,int,4,7000,810
block,int,4,7000,313
row,int,8,7000,160
col,int,8,7000,503
block,int,8,7000,167
row,int,16,7000,92
col,int,16,7000,410
block,int,16,7000,101
row,int,32,7000,86
col,int,32,7000,422
block,int,32,7000,96
row,int,1,8000,1299
col,int,1,8000,3400
block,int,1,8000,1307
row,int,2,8000,675
col,int,2,8000,1870
block,int,2,8000,752
row,int,4,8000,399
col,int,4,8000,1134
block,int,4,8000,397
row,int,8,8000,207
col,int,8,8000,675
block,int,8,8000,220
row,int,16,8000,119
col,int,16,8000,584
block,int,16,8000,132
row,int,32,8000,111
col,int,32,8000,610
block,int,32,8000,125
row,int,1,9000,1643
col,int,1,9000,4285
block,int,1,9000,1646
row,int,2,9000,864
col,int,2,9000,2337
block,int,2,9000,936
row,int,4,9000,477
col,int,4,9000,1443
block,int,4,9000,512
row,int,8,9000,262
col,int,8,9000,891
block,int,8,9000,287
row,int,16,9000,159
col,int,16,9000,809
block,int,16,9000,166
row,int,32,9000,140
col,int,32,9000,830
block,int,32,9000,157
row,int,1,10000,2033
col,int,1,10000,5297
block,int,1,10000,2026
row,int,2,10000,1068
col,int,2,10000,2930
block,int,2,10000,1151
row,int,4,10000,616
col,int,4,10000,1733
block,int,4,10000,644
row,int,8,10000,330
col,int,8,10000,1079
block,int,8,10000,354
row,int,16,10000,184
col,int,16,10000,1008
block,int,16,10000,205
row,int,32,10000,171
col,int,32,10000,1047
block,int,32,10000,190
