algorithm,type,treads,dim,time
Gram–Schmidt,float,1,100,50
Gram–Schmidt,float,2,100,29
Gram–Schmidt,float,4,100,22
Gram–Schmidt,float,8,100,30
Gram–Schmidt,float,16,100,74
Gram–Schmidt,float,32,100,147
Gram–Schmidt,float,1,200,59
Gram–Schmidt,float,2,200,32
Gram–Schmidt,float,4,200,20
Gram–Schmidt,float,8,200,18
Gram–Schmidt,float,16,200,36
Gram–Schmidt,float,32,200,69
Gram–Schmidt,float,1,300,1190
Gram–Schmidt,float,2,300,645
Gram–Schmidt,float,4,300,366
Gram–Schmidt,float,8,300,264
Gram–Schmidt,float,16,300,299
Gram–Schmidt,float,32,300,579
Gram–Schmidt,float,1,400,2756
Gram–Schmidt,float,2,400,1465
Gram–Schmidt,float,4,400,830
Gram–Schmidt,float,8,400,546
Gram–Schmidt,float,16,400,505
Gram–Schmidt,float,32,400,845
Gram–Schmidt,float,1,500,4249
Gram–Schmidt,float,2,500,2279
Gram–Schmidt,float,4,500,1276
Gram–Schmidt,float,8,500,802
Gram–Schmidt,float,16,500,668
Gram–Schmidt,float,32,500,988
Gram–Schmidt,float,1,600,3115
Gram–Schmidt,float,2,600,1663
Gram–Schmidt,float,4,600,956
Gram–Schmidt,float,8,600,583
Gram–Schmidt,float,16,600,458
Gram–Schmidt,float,32,600,676
Gram–Schmidt,float,1,700,14680
Gram–Schmidt,float,2,700,7639
Gram–Schmidt,float,4,700,4239
Gram–Schmidt,float,8,700,2521
Gram–Schmidt,float,16,700,1863
Gram–Schmidt,float,32,700,2162
Gram–Schmidt,float,1,800,22159
Gram–Schmidt,float,2,800,11340
Gram–Schmidt,float,4,800,6656
Gram–Schmidt,float,8,800,3732
Gram–Schmidt,float,16,800,2640
Gram–Schmidt,float,32,800,2912
Gram–Schmidt,float,1,900,12808
Gram–Schmidt,float,2,900,6572
Gram–Schmidt,float,4,900,3748
Gram–Schmidt,float,8,900,2148
Gram–Schmidt,float,16,900,1509
Gram–Schmidt,float,32,900,1688
Gram–Schmidt,float,1,1000,24871
Gram–Schmidt,float,2,1000,12496
Gram–Schmidt,float,4,1000,7254
Gram–Schmidt,float,8,1000,4117
Gram–Schmidt,float,16,1000,2769
Gram–Schmidt,float,32,1000,2922
