step,"time, s",x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35,x36,y36,x37,y37,x38,y38,x39,y39,x40,y40,x41,y41,x42,y42,x43,y43,x44,y44,x45,y45,x46,y46,x47,y47,x48,y48,x49,y49,x50,y50,x51,y51,x52,y52,x53,y53,x54,y54,x55,y55,x56,y56,x57,y57,x58,y58,x59,y59,x60,y60,x61,y61,x62,y62,x63,y63,x64,y64,x65,y65,x66,y66,x67,y67,x68,y68,x69,y69,x70,y70,x71,y71,x72,y72,x73,y73,x74,y74,x75,y75,x76,y76,x77,y77,x78,y78,x79,y79,x80,y80,x81,y81,x82,y82,x83,y83,x84,y84,x85,y85,x86,y86,x87,y87,x88,y88,x89,y89,x90,y90,x91,y91,x92,y92,x93,y93,x94,y94,x95,y95,x96,y96,x97,y97,x98,y98,x99,y99
0,0.000054,1.124137,-0.343319,-0.689551,1.159446,-0.344083,2.280872,0.865204,1.381811,-0.357933,0.264638,0.071733,1.241194,2.224007,0.392609,-0.738707,0.964429,-0.183219,0.907209,0.054431,-1.022748,0.786779,-0.274658,-0.011717,-0.718331,-1.703318,0.315055,0.154939,2.081739,-0.032073,0.730340,-0.890541,0.925317,0.506323,-0.894229,0.981315,-0.541550,-1.076242,1.331671,0.661465,0.899255,-0.424861,1.224893,0.326627,-1.496770,1.940837,-0.934857,1.015322,-0.663507,-0.829743,0.744770,-0.051058,1.615726,1.537150,-0.974520,-0.754961,-0.991415,-0.703185,0.458664,-0.709698,0.113665,-0.661436,0.032478,0.834859,0.651979,0.675802,1.282003,0.053259,-0.822581,-0.158436,1.341820,0.358833,-1.277615,-2.054365,0.802779,0.296623,-0.648022,0.203711,0.992534,-0.683453,0.061107,2.094566,-0.023414,0.747998,-1.256263,3127.171275,-2.019502,-0.646860,0.203471,0.008220,0.495497,0.339626,-1.549124,0.669607,-0.072057,-1.694631,1.086053,2.032696,-0.198304,0.577677,0.786550,-0.752871,1.686391,-0.520830,-1.069787,1.169627,-0.893808,0.530179,0.210143,0.701247,-0.827760,0.283081,-0.602356,1.515972,1.841082,0.962430,-0.726896,0.967860,-0.426338,1.022804,0.747299,-0.561029,1.312226,0.125156,-0.330322,-0.274675,0.561959,-0.280223,2.742123,1.113762,-0.035166,-0.024036,-1.867493,0.419344,-0.676696,0.760203,2.143786,-0.004158,-0.437755,-0.200378,0.480270,0.215349,0.388872,-1.081908,1.630766,-0.786815,0.280859,-0.273100,-0.665617,0.560534,-1.572174,-0.029853,-1.193694,0.263545,-1.548478,-2217.921077,-0.366466,1.351386,0.811157,0.695522,0.676670,0.675314,0.406218,-1.471716,-0.132250,-0.817536,-0.240520,0.255644,-0.316179,-0.258340,1.486948,-0.963645,0.236811,1.188888,-1.722102,-0.839053,-1.280052,1.692231,1.369312,-0.225091,-1.542674,-0.325034,0.862806,-0.016566,-0.264751,0.264297,1.063694,-1.243184,0.489747,0.914490,0.714116,-1.823064,-0.587055,0.109142,-1.208082,-1.488440,-1.416131,-1.281004,0.801215,0.583984,1.098058
1,0.000014,1.111428,-0.338607,-0.666417,1.159637,-0.341705,2.280813,0.863716,1.371218,-0.351892,0.264654,0.066937,1.235925,2.223872,0.356990,-0.741807,0.964223,-0.184130,0.884415,-0.194056,-1.026316,0.786399,-0.260327,-0.066959,-0.721294,-1.698075,0.315325,0.154236,2.081794,0.205677,0.735384,-0.889605,0.920211,0.507510,1.014932,0.977338,-0.543152,-1.089590,1.340681,0.695320,0.908210,-0.425207,1.226941,0.341537,-1.497565,1.940915,-0.934196,1.034187,-1.013076,-0.831526,0.951508,-0.041810,1.617692,1.536024,-0.975832,-0.505341,-0.990069,-0.733482,0.461785,-0.676764,0.103528,-0.661682,0.033452,0.835842,0.652694,-2.515048,1.283817,0.858823,-0.877274,-0.159928,1.333335,0.354325,-1.425766,-2.054307,0.184622,0.294428,-0.655736,0.208157,0.990335,-0.731869,0.060899,2.094469,-0.033623,0.749416,-1.258944,3205.321711,-2.043541,-0.651053,0.214132,-0.004143,0.456407,0.331327,0.141107,0.676957,-0.070379,-1.711530,1.089197,2.033008,-0.199142,0.586480,0.837398,-0.838970,1.685823,-0.521734,-1.069034,1.171722,-9.202293,0.529219,0.186706,0.707627,-0.814173,0.287916,-0.600349,1.517317,1.840933,0.991408,-0.703722,0.965108,-0.428622,1.014928,0.634125,-0.560708,1.315915,0.117782,-0.337932,0.342229,0.561492,-0.206423,2.742098,1.125846,-0.026216,-0.038831,-1.867349,0.418829,-0.661219,0.757069,2.184727,-0.041239,-0.416600,-0.199195,0.493457,0.203659,0.508074,-1.051026,1.623957,-0.786003,0.278565,-0.867291,-0.584292,0.561046,-1.568151,-0.229371,-1.193133,0.920953,-3.907089,-2273.397950,-0.363344,1.351229,0.784692,0.734379,0.675280,1.572212,0.396249,-1.476101,-0.131846,-0.822701,-0.242709,0.273161,-0.322456,-0.272195,1.486636,-0.963299,0.236811,1.187330,-1.721939,-0.846788,-1.169165,1.692157,1.372824,-0.227956,-1.588188,-0.326398,0.863494,0.022610,-0.263557,-0.994355,1.064204,-1.244158,0.505059,0.914571,0.720346,-1.822910,-0.588051,0.111485,-1.203494,-1.487799,-1.415169,-1.280118,1.114572,0.580109,1.098167
2,0.000011,1.117817,1.665582,-0.658907,1.158993,-0.342097,2.280733,0.847823,1.905405,-0.341366,0.266053,0.066122,1.217200,2.223734,0.355897,-0.710181,0.961121,-0.199386,0.884276,-0.236772,-1.024197,0.786045,-0.381136,-0.063472,-0.719783,-1.700061,0.315575,0.154482,2.081787,0.245062,0.732497,-0.884999,0.910204,0.508804,1.060456,0.974374,-0.544637,-1.089433,1.317141,0.701945,0.911800,-0.425010,1.233145,3.380820,-1.497553,1.940987,-0.934616,1.030982,-1.027121,-0.841056,0.964015,1.928228,1.628786,1.535159,-0.978299,-0.503314,-0.988473,-0.275856,0.432044,-0.665016,0.103435,-0.700871,0.034821,0.837781,0.649822,-2.594795,1.285559,0.918564,-0.878434,-0.162771,1.347484,0.332631,-1.418807,-2.054250,0.268978,0.281832,-0.683013,-0.014594,0.990127,-1.253937,0.061169,2.094368,-0.008776,0.753618,-1.258653,3207.275472,-2.044051,-0.661365,0.214928,-0.005457,0.502357,0.358033,0.182981,0.683306,-0.068519,-1.704926,1.097259,2.033322,-0.199957,0.571887,0.841083,-0.840311,1.685251,-0.521226,-1.068218,1.176614,-9.410004,0.527493,0.013588,0.696762,-0.813632,0.318706,-0.590230,1.519304,1.840781,0.985524,-0.707217,0.975168,-0.424252,1.013795,0.635843,-0.560229,1.321884,0.116927,-3.258669,-2.852893,0.560912,-0.178862,2.742072,1.119924,-0.051558,-0.319825,-1.867217,0.418171,-0.618781,0.749284,2.185790,-4.627525,-0.420627,-0.164368,0.503000,0.551046,0.381900,-1.050485,1.584143,-0.786137,0.275396,-0.878515,-0.629639,0.561791,-1.568884,0.010889,-1.191764,0.921309,-3.966048,-2274.784871,-0.359833,1.351085,0.783693,0.734464,0.671956,1.594029,0.395469,-1.485116,-0.131421,-0.837158,-0.245786,0.279517,-0.331400,-0.271801,1.486316,-0.963122,0.235548,1.185127,-1.721821,-0.828202,-1.168056,1.692029,0.977679,-0.746062,-1.585950,-0.330650,0.865807,0.021646,-0.258113,-1.024732,1.064955,-1.245233,0.558565,0.932020,0.725402,-1.822755,-0.481450,0.134374,-1.192916,-1.486564,-1.421167,-1.279133,1.120014,0.578026,1.098604
3,0.000010,1.437105,1.717133,-0.881752,1.157872,0.926000,2.280643,0.831597,1.918534,-1.933475,0.359156,0.065037,1.222365,2.223581,0.356367,-0.703788,1.049406,-0.198136,0.883632,-0.238729,-1.068097,0.785760,-0.383668,-0.062664,-0.716617,-1.716566,0.315754,0.153767,2.081742,0.247220,0.719032,-0.846113,1.514757,0.510882,1.080272,2.132853,-0.545154,-1.088957,1.385247,0.644008,0.679834,-0.424691,1.231356,3.456790,-1.497513,1.931478,-0.935035,1.026301,-0.898115,1.152814,0.819207,1.980403,1.630038,1.533419,-0.982745,-0.506739,-0.983515,-0.219879,0.430639,-0.559386,0.102833,-0.714604,0.035130,0.847893,0.644222,-2.596790,1.287179,1.018540,-0.878283,-0.572275,1.344145,0.329991,-1.639798,-2.054195,0.204171,0.264866,-0.684593,-0.007382,0.978674,-1.254431,0.061047,2.094210,-0.007815,0.732546,-1.258300,3207.324316,-2.043974,-0.628213,0.216776,-0.012863,3.015204,0.357304,0.185437,0.696111,-0.063008,-1.651121,1.386868,2.033503,-0.200663,0.571250,0.844012,-1.977646,1.681194,-0.520866,-1.067333,1.196182,-9.415196,0.525594,0.007687,0.746443,-0.813403,0.322379,-0.591420,1.521896,1.840836,0.967689,-0.715059,-1.387474,-0.378490,1.013112,0.643968,-0.559680,1.279739,0.116556,-3.331679,-2.932753,0.356356,-0.170260,2.742045,0.819713,-0.056060,-0.340472,-1.867086,0.417975,-0.630377,0.767359,2.185843,-4.742177,-0.476215,0.327987,-1.700807,0.570155,0.380636,-1.050293,1.584032,-0.787025,0.249504,-0.890541,-0.623863,0.558925,-1.570202,0.022934,-1.208428,0.882353,-3.967514,-2274.819544,-0.359891,1.350947,0.783323,0.734363,0.668099,1.594409,0.392260,-2.072709,-0.130900,-0.980055,-0.254130,0.515047,-0.332066,-0.352279,1.486223,-0.962683,0.234570,1.179617,-1.721706,-0.853080,-1.169746,1.691905,0.965873,-0.758078,-1.581306,-0.332685,0.868696,0.010601,-0.250621,-1.025906,0.993225,-1.262851,0.824235,0.925535,0.749164,-1.822600,-0.478879,0.131874,-0.405034,-1.411618,-1.304216,-1.276088,1.118259,0.570412,0.884771
4,0.000010,1.445114,1.717318,-0.906056,1.156931,-2.140519,2.280553,0.827203,1.918669,-1.973761,-0.031879,0.063958,1.241388,2.223238,-12509.663208,-0.706945,1.052961,-0.201001,1.278157,-0.234880,0.722715,0.785473,-0.355692,-0.061668,-0.584685,-1.716910,0.317836,0.153094,2.081688,0.251691,0.718276,-0.864496,1.528995,0.518878,1.080400,2.160918,-0.545593,-1.088407,1.534500,0.642886,0.671568,-0.424567,1.225612,3.458678,-1.497809,1.931977,-0.935047,1.013589,-0.894243,1.204705,0.860317,1.981832,1.630274,1.529798,-1.670853,-0.513227,0.054524,-0.220306,0.429096,-18.267848,0.102225,-0.704081,0.035852,0.843078,-17.143347,-2.596828,1.259330,0.988032,-0.879019,-0.563181,1.344205,0.062084,-1.645310,-2.054369,0.207798,0.261256,-0.685766,-0.032811,0.971824,-1.273544,0.060956,2.094984,-0.006405,0.796989,-1.258275,3207.325537,-2.043872,-0.626503,0.214463,0.024484,3.078002,0.354803,0.189081,0.696965,-0.032863,-1.650022,1.019503,2.033433,-0.201376,-0.645547,0.842790,-2.005800,1.681387,-0.521240,-2.962080,1.190794,-9.415325,0.519715,0.002383,0.745083,-0.813223,0.367098,-0.592919,1.526533,1.840775,0.966778,-1.380693,-1.448334,-0.377036,1.026345,25.740528,17.790924,1.282162,0.116288,-3.333496,-2.934732,13924.707242,-0.171425,2.742031,0.821058,-0.084614,-0.323930,-1.866911,0.417699,-0.593962,0.764730,2.185871,-4.745039,-0.568639,0.484643,-1.758973,8.514283,0.379578,-1.049876,1.584620,-0.786717,0.243854,-0.878126,-0.642784,0.566880,-1.574079,0.013009,-1.208394,0.879980,-3.967542,-2274.820411,-0.361849,1.351030,0.783758,0.628056,0.675087,1.594219,0.385637,-2.084994,-0.130393,-0.980608,-0.148720,0.441141,-0.332784,-0.342773,1.486775,-0.965880,0.232399,1.179605,-1.719131,-0.843602,-1.170323,1.691766,0.972392,-0.758435,-1.570947,-0.353466,0.872525,0.012216,-0.339263,-1.025979,0.985081,-1.254519,0.803998,4.888788,0.748857,-1.822535,-0.394404,0.127863,-0.384187,-1.408270,-1.300939,-1.266952,1.117545,-7.822405,0.420924
5,0.000010,1.445391,1.716200,-0.904483,1.155981,-2.216910,2.280464,0.795375,1.918478,-1.975881,-1.500609,-0.123629,1.237557,2.222687,-12822.413697,-0.658262,1.054643,-0.205069,1.381859,-0.228150,0.707193,0.788550,-0.366420,-0.059906,-0.597033,-1.716853,0.317857,0.152270,2.081635,0.265671,0.774730,-0.871838,1.561573,1.130984,1.079678,2.161598,-0.548520,-1.087852,1.518698,0.642337,0.688042,-0.424248,1.227927,3.458714,-1.498119,1.932697,-0.934560,1.019475,-0.892636,1.201838,0.869901,1.981997,1.630385,1.484494,-1.687576,-0.530002,0.109300,-0.223875,0.420490,-18.710559,0.101289,-0.860536,0.037777,0.836063,-17.588036,-2.596812,1.260256,0.987660,-0.880363,-0.562437,1.343459,0.194705,-1.646309,-2.054050,0.231224,0.248131,-0.684566,-0.033914,5.260640,-1.235585,0.050841,2.095133,-0.003342,0.801623,-1.258450,3207.325568,-2.043766,-0.626492,0.199098,0.009203,3.079553,0.358825,0.193356,0.697235,0.661153,-1.650224,1.010579,2.033256,-0.200840,-0.673215,0.845610,-2.006177,1.681652,-0.515491,-3.009442,1.182315,-9.415327,-1.575010,-0.016518,0.745905,-0.813148,0.361982,-1.323519,1.584309,1.840707,0.967619,-1.397222,-1.448954,-0.376276,1.023919,26.367942,18.249688,1.244501,0.115831,-3.333527,-2.934764,14272.816014,-0.172786,2.742013,0.850238,-0.084495,-0.326993,-1.866675,0.417781,-0.018673,0.761848,2.185898,-4.745106,-0.577021,0.490096,-1.759358,8.712885,0.400313,-1.049424,1.584812,-0.786413,0.234972,-0.875156,-0.642601,0.566497,-1.524702,-2.046144,-1.208080,0.877839,-3.967533,-2274.820433,-0.362197,1.351086,0.785668,0.632338,0.552148,1.594015,0.370947,-2.084505,-0.132685,-0.976453,-0.145199,0.438485,-0.364944,-0.351250,1.487510,-0.970612,0.230920,1.183292,-1.719240,-0.846038,-1.171150,1.691627,-2.273618,-0.758638,-1.700155,-0.346381,0.867785,1.678569,-0.341243,-1.026032,0.970982,-1.267609,0.802161,4.987864,0.746694,-1.822444,-0.388762,0.120600,-0.373854,-1.408412,-1.300565,-1.287966,1.116777,-8.032224,0.428039
6,0.000010,1.445756,1.714973,-0.901990,1.155128,-2.218682,2.280375,0.804068,1.918281,-1.977372,-1.291873,-0.128304,1.252996,2.222110,-12830.232460,-0.656176,1.057252,-0.210565,1.383500,-0.154459,0.702899,0.812211,-0.302421,-0.058372,-0.596071,-1.716772,0.317897,0.152054,2.081583,0.261959,0.781224,-1.010162,1.562858,1.146872,1.078833,2.161610,-0.550153,-1.087300,1.517993,0.640877,0.690038,-0.423947,1.238772,3.458704,-1.607807,1.933417,-0.934083,1.077113,-0.890289,1.196217,0.566051,1.982114,1.630457,1.482570,-1.692244,-0.526628,0.085754,-0.282823,0.427571,-18.721627,0.107170,-0.872646,0.044371,0.842091,-17.599153,-2.596791,1.251689,0.987920,-0.882648,-0.561855,1.343478,0.198525,-1.647011,-2.036912,-9.286441,0.251570,-0.683371,-0.035966,5.367857,-1.236204,0.048323,2.095256,-0.008593,0.776801,-1.258811,3207.325569,-2.043682,-0.627392,0.170511,0.007953,3.079573,0.419556,0.227606,0.697588,0.681414,-1.650391,1.011134,2.033052,-0.200345,-0.667669,0.848515,-2.006417,1.682002,-0.517716,-3.010621,2.736058,-9.415326,-1.627370,-0.185671,0.747508,-0.813107,0.262774,-1.339397,1.593804,1.840643,0.968674,-1.397635,-1.448114,-0.371429,1.004404,26.383628,18.261157,1.228529,0.116991,-3.333509,-2.934745,14281.518733,-0.173973,2.741996,0.843166,-0.084238,-0.331837,-1.866426,0.417719,0.094191,0.757249,2.185928,-4.745103,-0.579837,0.490271,-1.758154,8.717849,0.403619,-1.048952,1.584263,-0.786317,0.125810,-0.819656,-0.642226,0.566718,-1.520189,-2.108984,-1.207776,0.874747,-3.967523,-2274.820433,-0.377691,1.351136,0.779285,0.648070,0.549192,1.589076,0.371307,-2.082741,-0.139012,-0.950246,-0.143714,0.436706,-0.313863,-0.292330,1.488588,-1.002567,8.415630,0.831468,-1.717759,-0.850858,-1.172070,1.683856,-2.354723,-0.759387,-1.703548,-0.374409,1.022157,1.728147,-0.343601,-1.026166,0.970982,-1.270403,0.798473,4.990337,0.747710,-1.822361,-0.382326,0.080378,-0.493673,-1.408638,-1.301412,-1.285344,1.116119,-8.037468,0.403901
7,0.000009,1.446191,1.713647,-0.901462,1.154197,-2.218544,2.280287,0.807627,1.918084,-1.978888,-1.299938,-0.129962,1.111400,2.221524,-12830.427929,-0.655232,1.059725,-0.210349,1.382665,-0.153186,0.691114,0.804069,-0.302467,-0.056322,-0.593904,-1.716655,0.318184,0.151779,2.081532,1.156992,0.633971,-0.999704,1.563566,1.147332,1.076881,2.161614,-0.551785,-1.086639,1.517537,0.644986,0.678210,-0.423375,1.228041,3.458692,-1.611066,1.934148,-0.933613,1.078475,-0.884306,1.195384,0.557964,1.982225,1.630532,1.481617,-1.698091,-0.514330,0.099360,-0.292932,0.425552,-18.721903,0.102709,-0.871754,0.124522,2.054125,-17.599430,-2.596768,1.528678,0.991030,-0.888956,-0.561263,1.343485,0.199324,-1.646752,-2.035394,-9.524402,0.267381,-0.682131,-0.038922,5.370534,-1.237724,0.023415,2.095381,-0.008218,0.775824,-1.259708,3207.325569,-2.043585,-0.628628,0.169207,0.007033,3.079554,0.177937,0.228095,0.698010,0.705382,-1.649823,1.023184,2.032833,-0.197893,-0.657120,0.847684,-2.006517,1.682472,-0.523422,-3.010644,2.774872,-9.415280,-1.629501,-0.191433,0.752036,-0.813069,-1.558192,-1.338646,1.560615,1.840581,0.970121,-1.397347,-1.447181,-0.388909,1.002267,26.384020,18.261444,1.243535,0.117120,-3.333489,-2.934725,14281.736301,-0.171356,2.741979,-0.564633,-0.084249,-0.331806,-1.866167,0.711329,0.100514,0.743347,2.185958,-4.745098,-0.584808,0.490211,-1.756833,8.717972,6.964186,-1.047917,1.583476,-0.787273,0.117763,-0.818881,-0.641874,0.566952,-1.520293,-2.110070,-1.207488,0.870626,-3.967514,-2274.820433,-0.388354,1.351239,1.101105,0.619337,0.551629,1.610587,0.372249,-2.083609,-0.188496,-0.949541,-0.136475,0.431436,-0.314174,-0.277034,1.489803,-1.014000,8.620246,0.845781,-1.714733,-0.850513,-1.173077,1.684148,-2.356716,-0.760462,-1.706103,-0.374884,1.024377,1.728615,-0.345335,-1.023056,0.972031,-1.276262,0.792289,4.990394,0.748490,-1.822269,-0.349857,0.079832,-0.497238,-1.408885,-1.294181,-1.279733,1.115320,-8.037598,-6.638327
8,0.000009,1.446669,1.712188,-0.900980,1.152681,-2.218355,2.280199,0.805101,1.917886,-1.980560,-1.263064,-0.132080,1.201170,2.220872,-12830.432815,-0.672530,1.064521,-0.210056,1.381767,-0.153714,0.688413,0.883484,-0.304130,-0.052864,-0.586528,-1.716511,0.318333,0.152705,2.081481,1.163946,0.631605,-1.004105,1.564258,1.160348,1.074466,2.161486,-0.553443,-1.085962,1.518785,0.645505,0.686023,-0.422838,1.233754,3.458680,-1.611780,1.935012,-0.933143,1.078706,-0.899770,1.193847,0.553341,1.982645,1.630593,1.480626,-1.710959,-0.527658,0.859766,-0.291145,0.425191,-18.721910,-0.101313,-0.870391,0.111045,2.083916,-17.599437,-2.596744,1.527914,0.999379,-0.871573,-0.685305,1.343573,0.197226,-1.646208,-2.034088,-9.530322,0.267471,-0.680841,-0.044095,5.370598,-1.239303,0.021862,2.094562,-0.006975,0.773761,-1.260800,3207.325569,-2.043489,-0.629857,0.168431,0.006116,3.079536,0.173049,0.227719,0.702908,0.698712,-1.648932,1.981003,2.036163,-0.185411,-0.294834,0.847205,-2.006619,1.683092,-0.520267,-3.010638,2.775813,-9.415341,-1.630478,-0.185130,0.747333,-0.813034,-1.603722,-1.337553,1.559988,1.840519,0.971861,-1.397048,-1.446242,1.380069,0.999200,26.384029,18.261451,1.237355,0.117368,-3.333470,-2.934705,14281.741740,-0.168093,2.741962,-0.488396,-0.084304,-0.331573,-1.865910,0.711816,0.125769,0.761504,2.185988,-4.745093,-0.603685,0.490517,-1.755512,8.717974,7.128198,-1.046744,1.582375,-0.788400,0.115631,-0.819371,-0.641574,0.567297,-1.520500,-2.109628,-1.207149,0.867717,-3.967504,-2274.820433,-2.755143,1.351327,1.118317,0.620937,0.569289,1.611181,0.372249,-2.084554,-0.244747,-0.949427,-0.135969,0.431672,-0.315894,-0.282223,1.491329,-1.016025,8.625360,0.846233,-1.706200,-0.850108,-1.174156,1.684621,-2.356733,-0.761559,-1.716511,-0.374751,0.751932,1.727871,-0.377375,-1.011716,0.973091,-1.402955,0.791425,4.990391,0.747630,-1.822166,-0.286286,0.080274,-0.497961,-1.409191,-1.314026,-1.185442,1.079530,-8.037600,-6.814381
9,0.000010,1.447190,1.710553,-0.900497,1.152144,-2.218165,2.280106,0.804816,1.917785,-1.982437,-1.187765,-0.134653,1.205361,2.220181,-12830.432937,-0.680171,1.086649,-0.209780,1.128123,-0.154990,0.432169,0.881316,-0.302842,-0.039125,-0.587645,-1.716340,0.318522,0.154678,2.081391,1.051353,0.632713,-1.016632,1.565170,1.254054,1.121756,2.161239,-0.555408,-1.085381,1.520933,0.645840,0.888759,-0.422485,1.351130,3.458667,-1.612473,1.935851,-0.932572,1.078797,-0.899893,1.191086,0.554324,1.982897,1.630652,1.479535,-1.661729,-0.507902,0.877911,-0.287648,0.424892,-18.721910,-0.102309,-0.868692,0.137473,2.096772,-17.599437,-2.596720,1.516201,-34.726423,-0.871217,-0.680342,1.344240,0.195495,-1.645532,-2.032618,-9.530443,0.267190,-0.679495,-0.065133,5.370597,-1.238771,0.020135,2.080396,-0.005795,0.769948,-1.391345,3207.325569,-2.043393,-0.630857,0.167901,0.005215,3.079516,0.173634,0.227422,0.713929,0.679137,-1.647574,2.004605,2.036856,5.241514,-0.184876,0.849128,-2.006706,1.683933,-0.526179,-3.010624,2.775807,-9.415399,-1.630899,-6.615895,0.748558,-0.813021,-1.605640,-1.335170,1.560155,1.840478,0.973705,-1.396723,-1.444690,1.627330,11.660037,26.384029,18.261450,1.119474,0.117676,-3.333449,-2.934684,14281.741876,-0.162647,2.741945,-0.487356,-0.089910,-0.331307,-1.865655,0.695201,0.120360,0.757138,2.186009,-4.745089,-0.599342,0.490830,-1.754152,8.717973,7.132297,-1.045637,1.580885,-0.789517,0.104739,-0.819887,-0.641258,0.567635,-1.520709,-2.109122,-1.206818,0.864141,-3.967494,-2274.820433,-2.814307,1.351407,1.117574,0.623519,0.567559,1.611264,0.372258,-2.085702,-0.246110,-0.949313,-0.134387,0.432045,-0.315158,-0.299899,1.492868,-0.992330,8.625487,0.846868,-1.737755,-0.849659,-1.175339,1.685135,-2.356703,-0.762465,-1.683257,-0.374648,0.708528,1.727053,-0.378084,-1.048944,0.973490,-1.438066,0.789889,4.990386,0.820290,-1.822057,-0.284756,0.080771,-0.498692,-1.380694,-1.315169,-1.183307,1.016312,-8.037598,-6.818780
